20
BirthAsphyxia;;yes,no;2;0.1,0.9
Disease;BirthAsphyxia;PFC,TGA,Fallot,PAIVS,TAPVD,Lung;2,6;0.2,0.3,0.25,0.15,0.05,0.05,0.03061224,0.33673469,0.29591837,0.23469388,0.05102041,0.05102041
LVH;Disease;yes,no;6,2;0.1,0.9,0.1,0.9,0.1,0.9,0.9,0.1,0.05,0.95,0.1,0.9
DuctFlow;Disease;Lt_to_Rt,None,Rt_to_Lt;6,3;0.15,0.05,0.8,0.1,0.8,0.1,0.8,0.2,0.0,1.0,0.0,0.0,0.33,0.33,0.34,0.2,0.4,0.4
CardiacMixing;Disease;None,Mild,Complete,Transp.;6,4;0.4,0.43,0.15,0.02,0.02,0.09,0.09,0.8,0.02,0.16,0.8,0.02,0.01,0.02,0.95,0.02,0.01,0.03,0.95,0.01,0.4,0.53,0.05,0.02
LungParench;Disease;Normal,Congested,Abnormal;6,3;0.6,0.1,0.3,0.8,0.05,0.15,0.8,0.05,0.15,0.8,0.05,0.15,0.1,0.6,0.3,0.03,0.25,0.72
LungFlow;Disease;Normal,Low,High;6,3;0.3,0.65,0.05,0.2,0.05,0.75,0.15,0.8,0.05,0.1,0.85,0.05,0.3,0.1,0.6,0.7,0.1,0.2
Sick;Disease;yes,no;6,2;0.4,0.6,0.3,0.7,0.2,0.8,0.3,0.7,0.7,0.3,0.7,0.3
HypDistrib;DuctFlow,CardiacMixing;Equal,Unequal;3,4,2;0.95,0.05,0.95,0.05,0.95,0.05,0.95,0.05,0.95,0.05,0.95,0.05,0.95,0.05,0.95,0.05,0.05,0.95,0.5,0.5,0.95,0.05,0.5,0.5
HypoxiaInO2;CardiacMixing,LungParench;Mild,Moderate,Severe;4,3,3;0.93,0.05,0.02,0.15,0.8,0.05,0.7,0.2,0.1,0.1,0.8,0.1,0.1,0.75,0.15,0.1,0.65,0.25,0.1,0.7,0.2,0.05,0.65,0.3,0.1,0.5,0.4,0.02,0.18,0.8,0.1,0.3,0.6,0.02,0.18,0.8
CO2;LungParench;Normal,Low,High;3,3;0.8,0.1,0.1,0.65,0.05,0.3,0.45,0.05,0.5
ChestXray;LungParench,LungFlow;Normal,Oligaemic,Plethoric,Grd_Glass,Asy/Patch;3,3,5;0.9,0.03,0.03,0.01,0.03,0.14,0.8,0.02,0.02,0.02,0.15,0.01,0.79,0.04,0.01,0.05,0.02,0.15,0.7,0.08,0.05,0.22,0.08,0.5,0.15,0.05,0.02,0.4,0.4,0.13,0.05,0.05,0.05,0.05,0.8,0.05,0.15,0.05,0.05,0.7,0.24,0.33,0.03,0.34,0.06
Grunting;LungParench,Sick;yes,no;3,2,2;0.2,0.8,0.05,0.95,0.4,0.6,0.2,0.8,0.8,0.2,0.6,0.4
LVHreport;LVH;yes,no;2,2;0.9,0.1,0.05,0.95
Age;Disease,Sick;0-3_days,4-10_days,11-30_days;6,2,3;0.95,0.03,0.02,0.85,0.1,0.05,0.8,0.15,0.05,0.7,0.2,0.1,0.7,0.15,0.15,0.25,0.25,0.5,0.8,0.15,0.05,0.8,0.15,0.05,0.8,0.15,0.05,0.7,0.2,0.1,0.9,0.08,0.02,0.8,0.15,0.05
LowerBodyO2;HypDistrib,HypoxiaInO2;<5,5-12,12+;2,3,3;0.1,0.3,0.6,0.3,0.6,0.1,0.5,0.4,0.1,0.4,0.5,0.1,0.5,0.45,0.05,0.6,0.35,0.05
RUQO2;HypoxiaInO2;<5,5-12,12+;3,3;0.1,0.3,0.6,0.3,0.6,0.1,0.5,0.4,0.1
CO2Report;CO2;<7.5,7.5+;3,2;0.9,0.1,0.9,0.1,0.1,0.9
XrayReport;ChestXray;Normal,Oligaemic,Plethoric,Grd_Glass,Asy/Patchy;5,5;0.8,0.06,0.06,0.02,0.06,0.1,0.8,0.02,0.02,0.06,0.1,0.02,0.8,0.02,0.06,0.08,0.02,0.1,0.6,0.2,0.08,0.02,0.1,0.1,0.7
GruntingReport;Grunting;yes,no;2,2;0.8,0.2,0.1,0.9
